parent_task,candidate_id,task,status,volume_a3,static_energy_ev
E4-candidate_0195,candidate_0195,E4-candidate_0195-v4,complete,162.51333395703048,-117.00251279
E4-candidate_0196,candidate_0196,E4-candidate_0196-v0,complete,164.2412136352365,-136.28593133
E4-candidate_0196,candidate_0196,E4-candidate_0196-v1,complete,169.4829544959354,-136.94973782
E4-candidate_0196,candidate_0196,E4-candidate_0196-v2,complete,174.72469535663447,-137.15916376
E4-candidate_0196,candidate_0196,E4-candidate_0196-v3,complete,179.9664362173335,-136.98687337
E4-candidate_0196,candidate_0196,E4-candidate_0196-v4,complete,185.20817707803255,-136.49446276
E4-candidate_0200,candidate_0200,E4-candidate_0200-v0,complete,135.50245028933514,-108.12546305
E4-candidate_0200,candidate_0200,E4-candidate_0200-v1,complete,139.82699657516503,-108.67272341
E4-candidate_0200,candidate_0200,E4-candidate_0200-v2,complete,144.15154286099488,-108.81014165
E4-candidate_0200,candidate_0200,E4-candidate_0200-v3,complete,148.47608914682473,-108.66667515
E4-candidate_0200,candidate_0200,E4-candidate_0200-v4,complete,152.80063543265464,-108.25955288
E4-candidate_0215,candidate_0215,E4-candidate_0215-v0,complete,135.61594848406997,-101.60144051
E4-candidate_0215,candidate_0215,E4-candidate_0215-v1,complete,139.94411705271045,-102.13521187
E4-candidate_0215,candidate_0215,E4-candidate_0215-v2,complete,144.27228562135102,-102.3020761
E4-candidate_0215,candidate_0215,E4-candidate_0215-v3,complete,148.60045418999147,-102.16321407
E4-candidate_0215,candidate_0215,E4-candidate_0215-v4,complete,152.92862275863203,-101.77034592
E4-candidate_0221,candidate_0221,E4-candidate_0221-v0,complete,40.57738570781647,-33.3339982
E4-candidate_0221,candidate_0221,E4-candidate_0221-v1,complete,41.87240865593827,-33.50173422
E4-candidate_0221,candidate_0221,E4-candidate_0221-v2,complete,43.16743160406007,-33.55399946
E4-candidate_0221,candidate_0221,E4-candidate_0221-v3,complete,44.46245455218187,-33.5096313
E4-candidate_0221,candidate_0221,E4-candidate_0221-v4,complete,45.75747750030368,-33.38483965
E4-candidate_0224,candidate_0224,E4-candidate_0224-v0,complete,143.94029387524998,-123.32874416
E4-candidate_0224,candidate_0224,E4-candidate_0224-v1,complete,148.53413304148157,-123.84008698
E4-candidate_0224,candidate_0224,E4-candidate_0224-v2,complete,153.127972207713,-124.00022639
E4-candidate_0224,candidate_0224,E4-candidate_0224-v3,complete,157.72181137394423,-123.86389039
E4-candidate_0224,candidate_0224,E4-candidate_0224-v4,complete,162.31565054017568,-123.47765743
E4-candidate_0227,candidate_0227,E4-candidate_0227-v0,complete,160.32163744648463,-110.07387244
E4-candidate_0227,candidate_0227,E4-candidate_0227-v1,complete,165.43828545009592,-110.58836552
E4-candidate_0227,candidate_0227,E4-candidate_0227-v2,complete,170.55493345370706,-110.74386716
E4-candidate_0227,candidate_0227,E4-candidate_0227-v3,complete,175.67158145731827,-110.60335188
E4-candidate_0227,candidate_0227,E4-candidate_0227-v4,complete,180.78822946092933,-110.22031357
E4-candidate_0230,candidate_0230,E4-candidate_0230-v0,complete,217.5308979958013,-179.7899419
E4-candidate_0230,candidate_0230,E4-candidate_0230-v1,complete,224.4733734637526,-180.69547845
E4-candidate_0230,candidate_0230,E4-candidate_0230-v2,complete,231.41584893170332,-180.98731665
E4-candidate_0230,candidate_0230,E4-candidate_0230-v3,complete,238.3583243996547,-180.76432687
E4-candidate_0230,candidate_0230,E4-candidate_0230-v4,complete,245.30079986760578,-180.18134806
