parent_task,candidate_id,formula,role,n_points,refit_b0_gpa,refit_v0_a3,refit_bp,refit_e0_ev,refit_rms_ev,optimizer_nfev,published_b0_gpa,signed_error_gpa,absolute_error_gpa,relative_error,published_v0_a3,published_bp,published_rms_ev,uma_bulk_modulus_gpa,pss
E4-candidate_0236,candidate_0236,IrOs2,priority,5,383.48270894886656,86.41577337466191,5.0305932584851885,-62.6079196628005,1.0409682811132105e-05,5,383.4827089135632,3.530334424795001e-08,3.530334424795001e-08,9.205980720217392e-11,86.4157733739162,5.0305932765549475,1.0409682809496703e-05,405.1844574222583,-0.5198100401371247
E4-candidate_0241,candidate_0241,Ir5Os7,priority,5,375.0810522102045,173.20479967294358,5.086976344846684,-122.19164382612111,6.525296241529147e-05,6,375.0810521899726,2.0231937014614232e-08,2.0231937014614232e-08,5.3940173454475323e-11,173.20479967532088,5.086976319069868,6.525296241764831e-05,403.91934272618545,-0.4994836312474972
E4-candidate_0244,candidate_0244,Os7W3,screened,5,343.1548096486645,151.64027372318148,4.916601606447348,-116.04358769549428,5.303382327292504e-05,5,343.1548096983961,-4.973156819687574e-08,4.973156819687574e-08,1.4492458444800923e-10,151.64027373645177,4.916601434824775,5.3033823275414874e-05,369.2000026852173,-0.6538651978091304
E4-candidate_0249,candidate_0249,IrOs7,priority,5,394.60128555235127,114.94564011342196,4.976404331128175,-87.48672012940104,5.006242463309739e-05,7,394.6012855922095,-3.9858207401266554e-08,3.9858207401266554e-08,1.0100881283609652e-10,114.94564011898747,4.976404236789091,5.0062424634153824e-05,404.23926358933295,1.0529921481417828
E4-candidate_0253,candidate_0253,Ir2Os5,priority,5,384.95122350316575,201.57173122115424,5.038154646954078,-147.72937123189234,4.096145980491604e-05,6,384.9512235222926,-1.9126844108541263e-08,1.9126844108541263e-08,4.96864094456726e-11,201.57173122571874,5.03815460223924,4.0961459798052087e-05,419.5214226730207,-0.49848206832177
E4-candidate_0261,candidate_0261,ReOs3,priority,5,370.9177472582525,174.76154669840056,7.030121731874608,-137.23235917284424,0.0028041009385791423,5,370.9177466134179,6.44834642571368e-07,6.44834642571368e-07,1.7384842015753831e-09,174.76154719191408,7.030116214448638,0.0028041009386249264,405.2285784714318,-0.5341845152993847
E4-candidate_0264,candidate_0264,Ir3Os4,screened,5,324.74847026550225,110.16850672155851,5.2745905949425,-69.40722815398739,4.8430446384496724e-05,5,324.74847028668466,-2.1182415821385803e-08,2.1182415821385803e-08,6.522714580514014e-11,110.16850672087642,5.274590606476254,4.843044638284245e-05,326.8530621731822,-0.8233634045485988
E4-candidate_0269,candidate_0269,Re5B3Ir2,control,5,316.9213372371079,123.69422184548935,4.944258491225941,-100.14010980782955,0.00022828215432741346,7,316.92133734012964,-1.0302176178811351e-07,1.0302176178811351e-07,3.2507045013995827e-10,123.69422185815351,4.944258288720378,0.00022828215432550754,343.8436324342246,-0.08361683753467097
E4-candidate_0273,candidate_0273,IrOs3,priority,5,381.28991996633187,173.08238574319327,5.161247947624064,-126.63429454534165,0.00016719650193931635,5,381.28991995411855,1.221332013301435e-08,1.221332013301435e-08,3.203158408825496e-11,173.08238574817213,5.161247891713987,0.00016719650193630907,407.4002303463029,-0.495955245399458
E4-candidate_0284,candidate_0284,Re(Ir2Os3)2,screened,5,318.7028354541452,169.08472255750786,5.522053795307044,-113.57422251310331,1.55620340502385e-05,5,318.7028353574425,9.670270628703292e-08,9.670270628703292e-08,3.0342593651096827e-10,169.0847225504106,5.522053882853183,1.556203405443739e-05,347.5281588715386,-0.7312963059926489
E4-candidate_0292,candidate_0292,Re4Os,screened,5,373.9466305100704,148.8875353963082,4.68337276472261,-122.08452419933677,2.920070304113618e-05,5,373.9466305692437,-5.9173316913074814e-08,5.9173316913074814e-08,1.5824000559384018e-10,148.887535402646,4.683372680388914,2.920070304014213e-05,337.2114703494536,-0.6438093576265245
E4-candidate_0294,candidate_0294,Re2Ir3,screened,5,318.00813874434135,229.37407846780945,5.584655033600079,-153.59532764792834,0.00019457612575075612,5,318.00813854407266,2.002686869673198e-07,2.002686869673198e-07,6.297596278013641e-10,229.37407843324002,5.584655334407903,0.00019457612575393723,349.91122384071224,-0.6876460174279266
E4-candidate_0299,candidate_0299,Ir5Os7,priority,5,379.42729850180166,172.9868498690626,5.053932167831498,-122.87609837956353,1.7707565079278688e-06,5,379.4272984962258,5.57588464289438e-09,5.57588464289438e-09,1.469552840555526e-11,172.98684986926287,5.0539321661589325,1.7707565069927449e-06,420.5135276301135,-0.5003320831437847
E4-candidate_0300,candidate_0300,Os3W,control,5,369.5487927990062,118.54207473645133,4.755551047757673,-93.06258567752376,3.136804134642069e-05,5,369.5487927835028,1.5503417216677917e-08,1.5503417216677917e-08,4.195228754477483e-11,118.5420747385368,4.755551013646295,3.136804134367946e-05,352.4601136077887,0.9565047237786374
E4-candidate_0301,candidate_0301,IrOs5,priority,5,391.1977065683596,86.26366242905371,4.998774929711872,-65.03401576369035,7.625755692229243e-06,7,391.1977065368821,3.1477497941523325e-08,3.1477497941523325e-08,8.046442352686858e-11,86.26366242834175,4.998774946257437,7.62575569207851e-06,422.3838668156426,-0.4984738412908558
E4-candidate_0305,candidate_0305,Ir4Os14W,screened,5,360.5195910299937,284.3848951478768,5.0094876978500515,-203.61474021154163,5.7240664247638916e-05,5,360.5195910192805,1.0713222309277626e-08,1.0713222309277626e-08,2.971606141843394e-11,284.3848951471239,5.00948770325912,5.724066424580184e-05,367.7547750727399,-0.649880430596925
E4-candidate_0311,candidate_0311,Os7W3,screened,5,350.02352772805165,150.87962860248174,4.765625756569771,-115.97061236764668,5.780118159424723e-05,5,350.0235277013612,2.6690429422160378e-08,2.6690429422160378e-08,7.62532438817443e-11,150.8796285913204,4.765625900861329,5.780118159590536e-05,371.46621479740264,-0.6502883917910348
E4-candidate_0312,candidate_0312,Ir2Os3,priority,5,368.67029770093353,72.26620138690113,5.212475969273572,-51.176254194355366,2.4227120170064377e-05,5,368.6702976470676,5.386590373746003e-08,5.386590373746003e-08,1.4610860728744273e-10,72.26620138501127,5.212476023185714,2.422712016999954e-05,402.31014609721126,0.7504143896754285
E4-candidate_0313,candidate_0313,Ir5Os11,priority,5,380.3590958130329,230.8666676562356,5.141136559855155,-166.7425197566761,0.00015514985239923864,5,380.35909617030376,-3.57270835138479e-07,3.57270835138479e-07,9.392987803780902e-10,230.86666767175853,5.141136420018963,0.00015514985240043896,416.97644763860154,0.28054793971167036
E4-candidate_0320,candidate_0320,Re6Ir8W,screened,5,324.27338699595947,230.428011468788,5.240765537933557,-157.5376082519702,0.00015099141318620693,7,324.27338679897224,1.9698723008332308e-07,1.9698723008332308e-07,6.074727008215508e-10,230.42801141652794,5.240765987229393,0.00015099141319198532,319.85769980688207,-0.7476025485281531
E4-candidate_0330,candidate_0330,IrOs3,priority,5,383.89855131727757,57.672471198468116,4.9703013740672635,-42.19978302862118,1.0891423618396508e-05,5,383.8985512555165,6.176105671329424e-08,6.176105671329424e-08,1.6087858761464067e-10,57.67247119457001,4.970301508076368,1.0891423619371748e-05,400.0689048486388,0.2784471758815492
E4-candidate_0331,candidate_0331,Ir5Os11,priority,5,381.6474869026137,230.84589702959022,5.042971443165963,-166.74197990151984,5.755851009051751e-05,5,381.647486888018,1.4595684660889674e-08,1.4595684660889674e-08,3.824389040238145e-11,230.84589703537026,5.0429713945080445,5.755851008975088e-05,416.6979107383102,0.279214363869438
E4-candidate_0332,candidate_0332,IrOs4,control,5,379.6943433028734,72.15729587572496,5.219708950807306,-53.346306257307084,2.4776250648395283e-05,5,379.69434342514495,-1.222715582116507e-07,1.222715582116507e-07,3.220262833221691e-10,72.15729587845378,5.219708873984298,2.477625064873543e-05,387.3497241060197,0.7337737080611444
E4-candidate_0336,candidate_0336,Re5Ir4,screened,5,332.66914180247664,273.12397911384545,5.226692412257683,-195.68331658075294,0.00013112624430761113,5,332.66914187809743,-7.562078963019303e-08,7.562078963019303e-08,2.273153115533131e-10,273.1239791450748,5.226692188533073,0.0001311262443068316,320.16356574272135,-0.7143268569758725
E4-candidate_0339,candidate_0339,IrOs3,priority,5,387.5266564051201,57.56205558769729,5.013965676165692,-42.506340858112495,1.5282624205163337e-05,5,387.52665644326066,-3.814056981354952e-08,3.814056981354952e-08,9.842050651071492e-11,57.56205558877386,5.013965639368206,1.528262420563474e-05,400.94745796844614,0.2627098099232428
